Quarter,Number of offers,Average announced price in €,Average announced price per squared meter in €,Year
Beggen,495,364878,4222,2009
Belair,711,519909,5675,2009
Bonnevoie,804,323130,4124,2009
Cents,141,487993,5110,2009
Cessange,425,430093,4575,2009
Clausen,35,524691,5731,2009
Dommeldange,188,466952,4443,2009
Eich,277,386007,4697,2009
Gare,489,367421,4520,2009
Gasperich,305,330096,4205,2009
Grund,3,338330.0647,338330.0647,2009
Hamm,62,361567,4142,2009
Hollerich,156,306556,4399,2009
Kirchberg,227,463089,5275,2009
Limpertsberg,262,433358,5140,2009
Merl,484,417107,5162,2009
Mülhenbach,145,489433,5041,2009
Neudorf,139,468568,5274,2009
Pfaffenthal,61,522290,4878,2009
Pulvermühle,15,338330.0647,338330.0647,2009
Rollingergrund,156,434446,4754,2009
Ville-Haute,683,431441,4945,2009
Weimerskirch,90,400061,5204,2009
Beggen,508,404496,4542,2010
Belair,893,540380,5941,2010
Bonnevoie,746,340404,4274,2010
Cents,148,485156,5481,2010
Cessange,275,467769,5319,2010
Clausen,25,350562,350562,2010
Dommeldange,346,470455,4886,2010
Eich,305,368710,4749,2010
Gare,311,355354,4514,2010
Gasperich,213,338059,4436,2010
Grund,1,350562,350562,2010
Hamm,52,325442,4079,2010
Hollerich,126,306531,4165,2010
Kirchberg,407,487093,5524,2010
Limpertsberg,188,450530,5462,2010
Merl,340,430930,5182,2010
Mülhenbach,136,494967,5146,2010
Neudorf,229,419310,5001,2010
Pfaffenthal,30,543696,5007,2010
Pulvermühle,18,350562,350562,2010
Rollingergrund,286,432196,4914,2010
Ville-Haute,892,436380,5214,2010
Weimerskirch,302,398755,5288,2010
Beggen,372,422256,5019,2011
Belair,848,599024,6247,2011
Bonnevoie,656,344040,4508,2011
Cents,292,574831,6490,2011
Cessange,861,468947,5488,2011
Clausen,30,423336,5243,2011
Dommeldange,626,510925,5224,2011
Eich,284,355362,4822,2011
Gare,294,350626,4547,2011
Gasperich,185,375744,4613,2011
Grund,6,364681.7111,364681.7111,2011
Hamm,28,364681.7111,364681.7111,2011
Hollerich,180,315904,4306,2011
Kirchberg,350,523141,5745,2011
Limpertsberg,214,519741,6168,2011
Merl,486,492973,5699,2011
Mülhenbach,47,536999,5135,2011
Neudorf,372,380558,4609,2011
Pfaffenthal,6,364681.7111,364681.7111,2011
Pulvermühle,25,364681.7111,364681.7111,2011
Rollingergrund,190,425036,4959,2011
Ville-Haute,905,433693,5193,2011
Weimerskirch,194,425805,5045,2011
Beggen,160,477997,5141,2012
Belair,308,575150,6215,2012
Bonnevoie,345,370406,4652,2012
Cents,131,667279,6683,2012
Cessange,472,501172,5918,2012
Clausen,10,372703.4405,372703.4405,2012
Dommeldange,172,608776,6572,2012
Eich,88,395661,5006,2012
Gare,149,399058,5344,2012
Gasperich,103,386497,4785,2012
Grund,0,372703.4405,372703.4405,2012
Hamm,32,421531,4580,2012
Hollerich,98,343795,4885,2012
Kirchberg,187,535198,5570,2012
Limpertsberg,118,507078,5996,2012
Merl,233,497160,5666,2012
Mülhenbach,24,372703.4405,372703.4405,2012
Neudorf,177,484231,5696,2012
Pfaffenthal,1,372703.4405,372703.4405,2012
Pulvermühle,2,372703.4405,372703.4405,2012
Rollingergrund,56,399798,4703,2012
Ville-Haute,72,515670,5896,2012
Weimerskirch,66,494272,5032,2012
Beggen,183,500915,5537,2013
Belair,216,678854,6773,2013
Bonnevoie,246,422976,5002,2013
Cents,67,543704,5585,2013
Cessange,368,495990,5853,2013
Clausen,4,392680.2858,392680.2858,2013
Dommeldange,119,586723,6378,2013
Eich,63,472314,5284,2013
Gare,134,434217,5405,2013
Gasperich,149,412499,5018,2013
Grund,0,392680.2858,392680.2858,2013
Hamm,27,392680.2858,392680.2858,2013
Hollerich,68,381466,5133,2013
Kirchberg,181,645452,6701,2013
Limpertsberg,149,619737,7267,2013
Merl,132,512187,5857,2013
Mülhenbach,25,392680.2858,392680.2858,2013
Neudorf,336,475488,5721,2013
Pfaffenthal,3,392680.2858,392680.2858,2013
Pulvermühle,9,392680.2858,392680.2858,2013
Rollingergrund,70,496354,5526,2013
Ville-Haute,72,548486,6703,2013
Weimerskirch,113,531600,5910,2013
Beggen,94,493320.7553,5461.989268,2014
Belair,205,758706.8878,7764.633923,2014
Bonnevoie,290,500774.7655,6218.783623,2014
Cents,29,401245.7144,401245.7144,2014
Cessange,131,587600.2061,6377.520801,2014
Clausen,6,401245.7144,401245.7144,2014
Dommeldange,83,717844.7229,7184.758653,2014
Eich,33,492870.8182,5751.426809,2014
Gare,91,485478.044,5579.270703,2014
Gasperich,243,514633.6543,5656.398477,2014
Grund,0,401245.7144,401245.7144,2014
Hamm,9,401245.7144,401245.7144,2014
Hollerich,76,475374.5395,6157.578208,2014
Kirchberg,97,648384.1959,7082.900644,2014
Limpertsberg,174,754344.092,9199.60805,2014
Merl,289,698616.7128,6954.058662,2014
Mülhenbach,32,693137.8125,6800.083757,2014
Neudorf,313,529721.2141,6376.716653,2014
Pfaffenthal,2,401245.7144,401245.7144,2014
Pulvermühle,2,401245.7144,401245.7144,2014
Rollingergrund,43,583533.6279,6557.013491,2014
Ville-Haute,86,630509.0465,7044.375824,2014
Weimerskirch,45,626525.2444,5876.54489,2014
Beggen,58,482682.5517,6153.281438,2015
Belair,220,791228.0909,8236.652563,2015
Bonnevoie,416,544922.524,6553.24859,2015
Cents,28,459616.6966,459616.6966,2015
Cessange,117,646493.735,6110.547689,2015
Clausen,2,459616.6966,459616.6966,2015
Dommeldange,51,691096.3725,6860.470196,2015
Eich,141,475767.4397,6397.972562,2015
Gare,399,591426.1103,6759.872963,2015
Gasperich,371,524183.2156,6275.678546,2015
Grund,0,459616.6966,459616.6966,2015
Hamm,11,459616.6966,459616.6966,2015
Hollerich,157,568100.3822,6764.144622,2015
Kirchberg,132,709023.3561,8089.908755,2015
Limpertsberg,349,889163.1719,11091.16459,2015
Merl,90,702115.4556,7723.75876,2015
Mülhenbach,48,651989.7917,6738.834817,2015
Neudorf,251,527585.6295,6001.132997,2015
Pfaffenthal,2,459616.6966,459616.6966,2015
Pulvermühle,4,459616.6966,459616.6966,2015
Rollingergrund,17,459616.6966,459616.6966,2015
Ville-Haute,197,679735.4924,7132.93586,2015
Weimerskirch,17,459616.6966,459616.6966,2015
Beggen,27,485870.9197,485870.9197,2016
Belair,297,736448.4781,9026.166307,2016
Bonnevoie,217,618033.6452,6828.521477,2016
Cents,58,814706.8966,6966.082876,2016
Cessange,198,593427.2222,6475.659538,2016
Clausen,1,485870.9197,485870.9197,2016
Dommeldange,26,485870.9197,485870.9197,2016
Eich,51,612312,6499.155002,2016
Gare,467,606470.2548,7062.010956,2016
Gasperich,756,556571.2672,7147.892465,2016
Grund,0,485870.9197,485870.9197,2016
Hamm,33,527394.3636,7139.863154,2016
Hollerich,160,598041.2,7044.103944,2016
Kirchberg,288,794454.3646,9138.223279,2016
Limpertsberg,281,909289.4057,11517.53681,2016
Merl,121,768853.3802,7635.90688,2016
Mülhenbach,84,642816.8571,6614.781825,2016
Neudorf,150,635326.6067,6989.299648,2016
Pfaffenthal,2,485870.9197,485870.9197,2016
Pulvermühle,3,485870.9197,485870.9197,2016
Rollingergrund,17,485870.9197,485870.9197,2016
Ville-Haute,110,695098.4545,7592.57604,2016
Weimerskirch,27,485870.9197,485870.9197,2016
Beggen,67,609824.4478,6508.382994,2017
Belair,277,905172.7365,9218.555566,2017
Bonnevoie,515,617495.6466,7245.938681,2017
Cents,82,716929.2683,7087.125696,2017
Cessange,272,620376.2941,7615.25551,2017
Clausen,4,499606.1256,499606.1256,2017
Dommeldange,73,1152934.233,8671.174864,2017
Eich,78,569961.0641,7007.082186,2017
Gare,394,648171.6802,7127.426408,2017
Gasperich,1861,573773.6765,8237.044174,2017
Grund,18,620266.9444,12371.44967,2017
Hamm,61,624546.5082,7499.008846,2017
Hollerich,232,627794.3233,7290.650987,2017
Kirchberg,391,837875.2634,9357.176661,2017
Limpertsberg,342,928577.038,11764.89955,2017
Merl,144,766119.3403,8417.871144,2017
Mühlenbach,55,688782.7818,7596.460832,2017
Neudorf,105,800569.4476,8849.784066,2017
Pfaffenthal,6,499606.1256,499606.1256,2017
Pulvermühle,1,499606.1256,499606.1256,2017
Rollingergrund,68,593332.1765,8436.553243,2017
Ville-Haute,116,762865.0603,8799.335707,2017
Weimerskirch,29,499606.1256,499606.1256,2017
Beggen,52,692357.81,7462.396,2018
Belair,268,1152777.5,10155.16,2018
Bonnevoie,169,620802.91,7765.603,2018
Cents,129,847573.64,7817.137,2018
Cessange,709,736154.89,10836.41,2018
Clausen,4,570849.71,570849.71,2018
Dommeldange,80,1378370,9327.383,2018
Eich,19,570849.71,570849.71,2018
Gare,118,853577.59,8875.976,2018
Gasperich,569,674993.69,9529.307,2018
Grund,18,570849.71,570849.71,2018
Hamm,56,682011.25,7439.747,2018
Hollerich,73,646071.47,7593.299,2018
Kirchberg,421,1025155.5,9807.844,2018
Limpertsberg,337,968092.77,12203.54,2018
Merl,190,909502.22,9579.515,2018
Mühlenbach,60,640750.38,9272.686,2018
Neudorf,85,773270.24,9089.994,2018
Pfaffenthal,29,570849.71,570849.71,2018
Pulvermühle,1,570849.71,570849.71,2018
Rollingergrund,123,829092.46,9490.2,2018
Ville-Haute,229,949490.76,10428.21,2018
Weimerskirch,33,961181.82,8335.125,2018
Beggen,92,717041,8871.908,2019
Belair,204,1125541.2,10659.35,2019
Bonnevoie,221,763677.7,9321.942,2019
Cents,63,778531.75,8505.762,2019
Cessange,3769,772207.27,11782.96,2019
Clausen,7,658977.43,658977.43,2019
Dommeldange,31,1323709.7,10304.93,2019
Eich,36,840958.08,9696.524,2019
Gare,125,911015.56,10208.51,2019
Gasperich,441,842680.47,11132.22,2019
Grund,15,658977.43,658977.43,2019
Hamm,53,668832.13,9317.654,2019
Hollerich,172,701524.94,10628.94,2019
Kirchberg,261,1094925.2,11062.66,2019
Limpertsberg,113,974033.41,12467,2019
Merl,122,888490.89,10238.42,2019
Mühlenbach,81,943578.68,11001.23,2019
Neudorf,358,1055110.5,10241.14,2019
Pfaffenthal,2,658977.43,658977.43,2019
Pulvermühle,0,658977.43,658977.43,2019
Rollingergrund,134,1087411.5,11103.3,2019
Ville-Haute,121,903459.53,11263.78,2019
Weimerskirch,5,658977.43,658977.43,2019
Beggen,72,942475.53,9189.86,2020
Belair,456,1128699.8,13579.39,2020
Bonnevoie,292,790692.89,10453.51,2020
Cents,125,800551.55,10421.85,2020
Cessange,4158,914442.75,12426,2020
Clausen,14,810617.7,810617.7,2020
Dommeldange,51,1339549,9410.357,2020
Eich,38,1047842.1,10786.03,2020
Gare,120,944633.83,11641.48,2020
Gasperich,441,888726.77,12421.53,2020
Grund,1,810617.7,810617.7,2020
Hamm,43,692727.16,9955.194,2020
Hollerich,143,731715.37,11096.8,2020
Kirchberg,353,1142548.3,13287.09,2020
Limpertsberg,128,1120685.8,13328.27,2020
Merl,128,1236484.3,12751.15,2020
Mühlenbach,151,955660.9,11367.74,2020
Neudorf,969,1078033.2,10665.3,2020
Pfaffenthal,42,995088.19,13678.59,2020
Pulvermühle,0,810617.7,810617.7,2020
Rollingergrund,152,934283.38,11412.47,2020
Ville-Haute,179,1068702.5,11601.63,2020
Weimerskirch,85,1005641.4,15153.99,2020
Beggen,87,889524.51,9911.854,2021
Belair,577,1146468.5,13538.78,2021
Bonnevoie,439,794838.71,10646.64,2021
Cents,180,809869.12,10270.7,2021
Cessange,2264,1032392.4,12686.17,2021
Clausen,11,862438,862438,2021
Dommeldange,84,1181604.6,10775.63,2021
Eich,136,876845.08,12169.2,2021
Gare,217,909926.47,11414.38,2021
Gasperich,555,962252.3,12870.37,2021
Grund,6,862438,862438,2021
Hamm,47,780615.32,9839.062,2021
Hollerich,131,725053.1,10998.22,2021
Kirchberg,736,1076198.3,15085.52,2021
Limpertsberg,175,1149353.1,14196.41,2021
Merl,193,1172429.6,12555.41,2021
Mühlenbach,114,936693.79,11106.68,2021
Neudorf,664,1022111.7,11149.8,2021
Pfaffenthal,129,959773.68,13977.59,2021
Pulvermühle,1,862438,862438,2021
Rollingergrund,152,960414.79,11234.22,2021
Ville-Haute,207,1000227.6,11740.79,2021
Weimerskirch,164,956075.03,16124.5,2021
