Commune,Average registered price per squared meter in €,MinPriceSMuc,MaxPriceSMuc,Year
Beaufort,4264.941,2894,6203,2009
Bech,4264.941,2894,6203,2009
Beckerich,4264.941,2894,6203,2009
Berdorf,4264.941,2894,6203,2009
Bertrange,5224.182,4027,5745,2009
Bettembourg,4264.941,2894,6203,2009
Bettendorf,4264.941,2894,6203,2009
Betzdorf,4264.941,2894,6203,2009
Bissen,4264.941,2894,6203,2009
Biwer,4264.941,2894,6203,2009
Boevange-sur-Attert,4264.941,2894,6203,2009
Boulaide,4264.941,2894,6203,2009
Bourscheid,4264.941,2894,6203,2009
Bous,4264.941,2894,6203,2009
Clervaux,4264.941,2894,6203,2009
Colmar-Berg,3412.167,2659,3859,2009
Consdorf,4264.941,2894,6203,2009
Contern,4264.941,2894,6203,2009
Dalheim,4264.941,2894,6203,2009
Diekirch,4264.941,2894,6203,2009
Differdange,3576.627,2730,4513,2009
Dippach,4264.941,2894,6203,2009
Dudelange,4300.076,3362,5213,2009
Echternach,4264.941,2894,6203,2009
Ell,4264.941,2894,6203,2009
Erpeldange,3851.223,2888,5035,2009
Esch-sur-Alzette,4152.841,3390,5081,2009
Esch-sur-Sûre,4264.941,2894,6203,2009
Eschweiler,4264.941,2894,6203,2009
Ettelbruck,3807.797,2966,4911,2009
Feulen,4264.941,2894,6203,2009
Fischbach,4264.941,2894,6203,2009
Flaxweiler,4264.941,2894,6203,2009
Frisange,4264.941,2894,6203,2009
Garnich,4264.941,2894,6203,2009
Goesdorf,4264.941,2894,6203,2009
Grevenmacher,3954.671,2972,4907,2009
Grosbous,4264.941,2894,6203,2009
Heffingen,4264.941,2894,6203,2009
Hesperange,4316.986,3525,5437,2009
Hobscheid,4264.941,2894,6203,2009
Junglinster,4542.026,3445,5065,2009
Kaerjeng,3935.386,2777,4631,2009
Kayl,3678.271,2621,4266,2009
Kehlen,4264.941,2894,6203,2009
Kiischpelt,4264.941,2894,6203,2009
Koerich,4264.941,2894,6203,2009
Kopstal,4264.941,2894,6203,2009
Lac de la Haute-Sûre,4264.941,2894,6203,2009
Larochette,4264.941,2894,6203,2009
Lenningen,4264.941,2894,6203,2009
Leudelange,4264.941,2894,6203,2009
Lintgen,4264.941,2894,6203,2009
Lorentzweiler,4431.109,3285,5691,2009
Luxembourg City,5447.773,3889,7551,2009
Mamer,4455.12,3293,5219,2009
Manternach,4264.941,2894,6203,2009
Mersch,3559.024,2843,4286,2009
Mertert,3885.649,3111,4588,2009
Mertzig,4264.941,2894,6203,2009
Mompach,4264.941,2894,6203,2009
Mondercange,4264.941,2894,6203,2009
Mondorf-les-Bains,4264.941,2894,6203,2009
Niederanven,4264.941,2894,6203,2009
Nommern,4264.941,2894,6203,2009
Parc Hosingen,4264.941,2894,6203,2009
Petange,3557.587,2437,5128,2009
Preizerdaul,4264.941,2894,6203,2009
Putscheid,4264.941,2894,6203,2009
Rambrouch,4264.941,2894,6203,2009
Reckange-sur-Mess,4264.941,2894,6203,2009
Redange,4264.941,2894,6203,2009
Reisdorf,4264.941,2894,6203,2009
Remich,3681.461,2738,4407,2009
Roeser,4537.518,3686,5289,2009
Rosport,4264.941,2894,6203,2009
Rumelange,3825.249,3539,4173,2009
Saeul,4264.941,2894,6203,2009
Sandweiler,4264.941,2894,6203,2009
Sanem,3750.371,3261,4177,2009
Schengen,4264.941,2894,6203,2009
Schieren,4264.941,2894,6203,2009
Schifflange,3848.276,3005,4706,2009
Schuttrange,4264.941,2894,6203,2009
Septfontaines,4264.941,2894,6203,2009
Stadtbredimus,4264.941,2894,6203,2009
Steinfort,4264.941,2894,6203,2009
Steinsel,4370.095,3895,4983,2009
Strassen,4264.941,2894,6203,2009
Tandel,4264.941,2894,6203,2009
Troisvierges,4264.941,2894,6203,2009
Tuntange,4264.941,2894,6203,2009
Useldange,4264.941,2894,6203,2009
Vallée de l'Ernz,4264.941,2894,6203,2009
Vianden,4264.941,2894,6203,2009
Vichten,4264.941,2894,6203,2009
Wahl,4264.941,2894,6203,2009
Waldbillig,4264.941,2894,6203,2009
Waldbredimus,4264.941,2894,6203,2009
Walferdange,4264.941,2894,6203,2009
Weiler-la-Tour,4264.941,2894,6203,2009
Weiswampach,4264.941,2894,6203,2009
Wiltz,4264.941,2894,6203,2009
Wincrange,4264.941,2894,6203,2009
Winseler,4264.941,2894,6203,2009
Wormeldange,4264.941,2894,6203,2009
National Average,4264.941,2894,6203,2009
Beaufort,4480.081,3155,6374,2010
Bech,4480.081,3155,6374,2010
Beckerich,4480.081,3155,6374,2010
Berdorf,4480.081,3155,6374,2010
Bertrange,4480.081,3155,6374,2010
Bettembourg,4480.081,3155,6374,2010
Bettendorf,4480.081,3155,6374,2010
Betzdorf,4333.179,3684,4643,2010
Bissen,4480.081,3155,6374,2010
Biwer,4480.081,3155,6374,2010
Boevange-sur-Attert,4480.081,3155,6374,2010
Boulaide,4480.081,3155,6374,2010
Bourscheid,4480.081,3155,6374,2010
Bous,4480.081,3155,6374,2010
Clervaux,3042.358,2535,3628,2010
Colmar-Berg,4480.081,3155,6374,2010
Consdorf,4480.081,3155,6374,2010
Contern,4480.081,3155,6374,2010
Dalheim,4480.081,3155,6374,2010
Diekirch,4059.979,3251,4651,2010
Differdange,3724.288,3232,4236,2010
Dippach,4153.961,3540,4787,2010
Dudelange,4090.169,3326,5127,2010
Echternach,4480.081,3155,6374,2010
Ell,2869.938,2264,3688,2010
Erpeldange,3957.967,3206,5063,2010
Esch-sur-Alzette,4081.28,3378,4827,2010
Esch-sur-Sûre,4480.081,3155,6374,2010
Eschweiler,4480.081,3155,6374,2010
Ettelbruck,4273.769,3456,4850,2010
Feulen,4480.081,3155,6374,2010
Fischbach,4480.081,3155,6374,2010
Flaxweiler,4480.081,3155,6374,2010
Frisange,4480.081,3155,6374,2010
Garnich,4480.081,3155,6374,2010
Goesdorf,4480.081,3155,6374,2010
Grevenmacher,4480.081,3155,6374,2010
Grosbous,4480.081,3155,6374,2010
Heffingen,4480.081,3155,6374,2010
Hesperange,4996.274,3907,6483,2010
Hobscheid,4480.081,3155,6374,2010
Junglinster,4533.006,3648,5197,2010
Kaerjeng,4108.282,3564,4739,2010
Kayl,3682.467,2863,5048,2010
Kehlen,4670.821,3401,5427,2010
Kiischpelt,4480.081,3155,6374,2010
Koerich,4480.081,3155,6374,2010
Kopstal,4480.081,3155,6374,2010
Lac de la Haute-Sûre,4480.081,3155,6374,2010
Larochette,4480.081,3155,6374,2010
Lenningen,4480.081,3155,6374,2010
Leudelange,4480.081,3155,6374,2010
Lintgen,4089.69,3239,4831,2010
Lorentzweiler,4480.081,3155,6374,2010
Luxembourg City,5621.878,4328,7082,2010
Mamer,4569.894,3241,5223,2010
Manternach,4480.081,3155,6374,2010
Mersch,3713.142,3076,4357,2010
Mertert,3844.9,2950,5233,2010
Mertzig,4480.081,3155,6374,2010
Mompach,4480.081,3155,6374,2010
Mondercange,4480.081,3155,6374,2010
Mondorf-les-Bains,4480.081,3155,6374,2010
Niederanven,4480.081,3155,6374,2010
Nommern,4480.081,3155,6374,2010
Parc Hosingen,4480.081,3155,6374,2010
Petange,3889.626,3070,5008,2010
Preizerdaul,4480.081,3155,6374,2010
Putscheid,4480.081,3155,6374,2010
Rambrouch,4480.081,3155,6374,2010
Reckange-sur-Mess,4480.081,3155,6374,2010
Redange,4480.081,3155,6374,2010
Reisdorf,4480.081,3155,6374,2010
Remich,4021.912,3387,4346,2010
Roeser,4415.29,3763,5412,2010
Rosport,4480.081,3155,6374,2010
Rumelange,3898.048,3451,4354,2010
Saeul,4480.081,3155,6374,2010
Sandweiler,4465.932,3560,5800,2010
Sanem,3767.428,3135,4439,2010
Schengen,4480.081,3155,6374,2010
Schieren,4107.194,3801,4667,2010
Schifflange,3887.972,3100,4764,2010
Schuttrange,4480.081,3155,6374,2010
Septfontaines,4480.081,3155,6374,2010
Stadtbredimus,4480.081,3155,6374,2010
Steinfort,4480.081,3155,6374,2010
Steinsel,4273.856,3862,4815,2010
Strassen,5305.981,4339,6002,2010
Tandel,4480.081,3155,6374,2010
Troisvierges,4480.081,3155,6374,2010
Tuntange,4480.081,3155,6374,2010
Useldange,4480.081,3155,6374,2010
Vallée de l'Ernz,4480.081,3155,6374,2010
Vianden,4480.081,3155,6374,2010
Vichten,4480.081,3155,6374,2010
Wahl,4480.081,3155,6374,2010
Waldbillig,4480.081,3155,6374,2010
Waldbredimus,4480.081,3155,6374,2010
Walferdange,4579.322,4026,5103,2010
Weiler-la-Tour,4480.081,3155,6374,2010
Weiswampach,4480.081,3155,6374,2010
Wiltz,4480.081,3155,6374,2010
Wincrange,4480.081,3155,6374,2010
Winseler,4480.081,3155,6374,2010
Wormeldange,4480.081,3155,6374,2010
National Average,4480.081,3155,6374,2010
Beaufort,4633.802,3232,6448,2011
Bech,4633.802,3232,6448,2011
Beckerich,4633.802,3232,6448,2011
Berdorf,4633.802,3232,6448,2011
Bertrange,5646.438,5128,6329,2011
Bettembourg,4215.006,3440,4901,2011
Bettendorf,4633.802,3232,6448,2011
Betzdorf,4633.802,3232,6448,2011
Bissen,4633.802,3232,6448,2011
Biwer,4633.802,3232,6448,2011
Boevange-sur-Attert,4633.802,3232,6448,2011
Boulaide,4633.802,3232,6448,2011
Bourscheid,4633.802,3232,6448,2011
Bous,4633.802,3232,6448,2011
Clervaux,3188.23,2879,3422,2011
Colmar-Berg,3735.867,3057,4300,2011
Consdorf,4633.802,3232,6448,2011
Contern,4633.802,3232,6448,2011
Dalheim,4633.802,3232,6448,2011
Diekirch,4205.066,3091,5307,2011
Differdange,3820.467,3000,4558,2011
Dippach,4633.802,3232,6448,2011
Dudelange,4188.708,2886,4591,2011
Echternach,4633.802,3232,6448,2011
Ell,4633.802,3232,6448,2011
Erpeldange,4633.802,3232,6448,2011
Esch-sur-Alzette,4358.958,3734,5293,2011
Esch-sur-Sûre,4633.802,3232,6448,2011
Eschweiler,4633.802,3232,6448,2011
Ettelbruck,4384.528,3690,4885,2011
Feulen,4633.802,3232,6448,2011
Fischbach,4633.802,3232,6448,2011
Flaxweiler,4633.802,3232,6448,2011
Frisange,4486.69,3695,4909,2011
Garnich,4633.802,3232,6448,2011
Goesdorf,4633.802,3232,6448,2011
Grevenmacher,3486.124,3020,4017,2011
Grosbous,4633.802,3232,6448,2011
Heffingen,4633.802,3232,6448,2011
Hesperange,5100.993,3821,5907,2011
Hobscheid,3607.754,3300,3878,2011
Junglinster,4298.82,3758,4946,2011
Kaerjeng,4233.321,3642,4953,2011
Kayl,3914.491,3294,4520,2011
Kehlen,4249.167,3916,5322,2011
Kiischpelt,4633.802,3232,6448,2011
Koerich,4633.802,3232,6448,2011
Kopstal,5799.917,4439,7212,2011
Lac de la Haute-Sûre,4633.802,3232,6448,2011
Larochette,4633.802,3232,6448,2011
Lenningen,4633.802,3232,6448,2011
Leudelange,5066.268,4606,5669,2011
Lintgen,4633.802,3232,6448,2011
Lorentzweiler,4633.802,3232,6448,2011
Luxembourg City,5469.143,4288,7042,2011
Mamer,5080.397,4152,5672,2011
Manternach,4633.802,3232,6448,2011
Mersch,4444.478,3467,5228,2011
Mertert,3999.828,3048,4576,2011
Mertzig,4633.802,3232,6448,2011
Mompach,4633.802,3232,6448,2011
Mondercange,4633.802,3232,6448,2011
Mondorf-les-Bains,4633.802,3232,6448,2011
Niederanven,4633.802,3232,6448,2011
Nommern,4633.802,3232,6448,2011
Parc Hosingen,4633.802,3232,6448,2011
Petange,3542.348,2908,4149,2011
Preizerdaul,4633.802,3232,6448,2011
Putscheid,4633.802,3232,6448,2011
Rambrouch,4633.802,3232,6448,2011
Reckange-sur-Mess,4633.802,3232,6448,2011
Redange,4633.802,3232,6448,2011
Reisdorf,4633.802,3232,6448,2011
Remich,4633.802,3232,6448,2011
Roeser,4661.442,4080,6100,2011
Rosport,4633.802,3232,6448,2011
Rumelange,3447.223,2967,4262,2011
Saeul,4633.802,3232,6448,2011
Sandweiler,4684.979,4050,5306,2011
Sanem,3982.836,3257,5005,2011
Schengen,3631.195,3069,3969,2011
Schieren,4237.6,3728,4651,2011
Schifflange,3755.776,2912,4862,2011
Schuttrange,4633.802,3232,6448,2011
Septfontaines,4633.802,3232,6448,2011
Stadtbredimus,4633.802,3232,6448,2011
Steinfort,4633.802,3232,6448,2011
Steinsel,4633.802,3232,6448,2011
Strassen,5657.992,4746,6869,2011
Tandel,4633.802,3232,6448,2011
Troisvierges,4633.802,3232,6448,2011
Tuntange,3740.663,3189,4394,2011
Useldange,4633.802,3232,6448,2011
Vallée de l'Ernz,4633.802,3232,6448,2011
Vianden,4633.802,3232,6448,2011
Vichten,4633.802,3232,6448,2011
Wahl,4633.802,3232,6448,2011
Waldbillig,4633.802,3232,6448,2011
Waldbredimus,4633.802,3232,6448,2011
Walferdange,4633.802,3232,6448,2011
Weiler-la-Tour,4389.929,3859,5095,2011
Weiswampach,4633.802,3232,6448,2011
Wiltz,4633.802,3232,6448,2011
Wincrange,4633.802,3232,6448,2011
Winseler,4633.802,3232,6448,2011
Wormeldange,4633.802,3232,6448,2011
National Average,4633.802,3232,6448,2011
Beaufort,4845.979,3221,6853,2012
Bech,4845.979,3221,6853,2012
Beckerich,4845.979,3221,6853,2012
Berdorf,4845.979,3221,6853,2012
Bertrange,6107.918,5319,7253,2012
Bettembourg,4453.785,3493,5100,2012
Bettendorf,4845.979,3221,6853,2012
Betzdorf,4845.979,3221,6853,2012
Bissen,4845.979,3221,6853,2012
Biwer,4845.979,3221,6853,2012
Boevange-sur-Attert,4845.979,3221,6853,2012
Boulaide,4845.979,3221,6853,2012
Bourscheid,4845.979,3221,6853,2012
Bous,3554.878,2917,4070,2012
Clervaux,4845.979,3221,6853,2012
Colmar-Berg,4845.979,3221,6853,2012
Consdorf,4845.979,3221,6853,2012
Contern,4845.979,3221,6853,2012
Dalheim,4845.979,3221,6853,2012
Diekirch,4845.979,3221,6853,2012
Differdange,3843.486,3280,4322,2012
Dippach,4651.735,4263,5130,2012
Dudelange,4413.628,3711,5129,2012
Echternach,4845.979,3221,6853,2012
Ell,4845.979,3221,6853,2012
Erpeldange,4845.979,3221,6853,2012
Esch-sur-Alzette,4588.709,3779,5666,2012
Esch-sur-Sûre,4845.979,3221,6853,2012
Eschweiler,4845.979,3221,6853,2012
Ettelbruck,4845.979,3221,6853,2012
Feulen,4845.979,3221,6853,2012
Fischbach,4845.979,3221,6853,2012
Flaxweiler,4845.979,3221,6853,2012
Frisange,3656.909,2537,4521,2012
Garnich,4845.979,3221,6853,2012
Goesdorf,4845.979,3221,6853,2012
Grevenmacher,3806.672,2965,4625,2012
Grosbous,4845.979,3221,6853,2012
Heffingen,4845.979,3221,6853,2012
Hesperange,5397.53,4008,7033,2012
Hobscheid,4845.979,3221,6853,2012
Junglinster,4942.814,4187,6124,2012
Kaerjeng,4845.979,3221,6853,2012
Kayl,4165.861,3405,4886,2012
Kehlen,4845.979,3221,6853,2012
Kiischpelt,4845.979,3221,6853,2012
Koerich,4845.979,3221,6853,2012
Kopstal,5846.862,4672,7065,2012
Lac de la Haute-Sûre,4845.979,3221,6853,2012
Larochette,4845.979,3221,6853,2012
Lenningen,4845.979,3221,6853,2012
Leudelange,4913.145,4491,5839,2012
Lintgen,4845.979,3221,6853,2012
Lorentzweiler,4954.346,3604,5861,2012
Luxembourg City,5789.002,4521,7582,2012
Mamer,5031.616,4023,5749,2012
Manternach,4845.979,3221,6853,2012
Mersch,4520.063,3313,4935,2012
Mertert,4845.979,3221,6853,2012
Mertzig,4845.979,3221,6853,2012
Mompach,4845.979,3221,6853,2012
Mondercange,4845.979,3221,6853,2012
Mondorf-les-Bains,4845.979,3221,6853,2012
Niederanven,4845.979,3221,6853,2012
Nommern,4845.979,3221,6853,2012
Parc Hosingen,4845.979,3221,6853,2012
Petange,3449.667,2904,4369,2012
Preizerdaul,4845.979,3221,6853,2012
Putscheid,4845.979,3221,6853,2012
Rambrouch,4845.979,3221,6853,2012
Reckange-sur-Mess,4845.979,3221,6853,2012
Redange,4845.979,3221,6853,2012
Reisdorf,4845.979,3221,6853,2012
Remich,4219.075,2780,4972,2012
Roeser,4806.334,4276,5922,2012
Rosport,4845.979,3221,6853,2012
Rumelange,4076.799,3416,4891,2012
Saeul,4845.979,3221,6853,2012
Sandweiler,4845.979,3221,6853,2012
Sanem,4215.595,3197,5082,2012
Schengen,4590.349,3903,5184,2012
Schieren,4247.219,3604,4778,2012
Schifflange,4248.729,3076,5139,2012
Schuttrange,4845.979,3221,6853,2012
Septfontaines,4845.979,3221,6853,2012
Stadtbredimus,4845.979,3221,6853,2012
Steinfort,4178.706,3862,4564,2012
Steinsel,4845.979,3221,6853,2012
Strassen,5966.764,4600,7121,2012
Tandel,4845.979,3221,6853,2012
Troisvierges,4845.979,3221,6853,2012
Tuntange,4845.979,3221,6853,2012
Useldange,4845.979,3221,6853,2012
Vallée de l'Ernz,4845.979,3221,6853,2012
Vianden,4845.979,3221,6853,2012
Vichten,4845.979,3221,6853,2012
Wahl,4845.979,3221,6853,2012
Waldbillig,4845.979,3221,6853,2012
Waldbredimus,4845.979,3221,6853,2012
Walferdange,4845.979,3221,6853,2012
Weiler-la-Tour,4845.979,3221,6853,2012
Weiswampach,3861.883,3069,5578,2012
Wiltz,4845.979,3221,6853,2012
Wincrange,4845.979,3221,6853,2012
Winseler,4845.979,3221,6853,2012
Wormeldange,4845.979,3221,6853,2012
National Average,4845.979,3221,6853,2012
Beaufort,5191,3382,7502,2013
Bech,5191,3382,7502,2013
Beckerich,5191,3382,7502,2013
Berdorf,5191,3382,7502,2013
Bertrange,6194.925,5321,7041,2013
Bettembourg,5178.687,4078,6516,2013
Bettendorf,5191,3382,7502,2013
Betzdorf,5191,3382,7502,2013
Bissen,5191,3382,7502,2013
Biwer,5191,3382,7502,2013
Boevange-sur-Attert,5191,3382,7502,2013
Boulaide,5191,3382,7502,2013
Bourscheid,5191,3382,7502,2013
Bous,5191,3382,7502,2013
Clervaux,5191,3382,7502,2013
Colmar-Berg,5191,3382,7502,2013
Consdorf,5191,3382,7502,2013
Contern,5191,3382,7502,2013
Dalheim,5191,3382,7502,2013
Diekirch,4640.46,3722,5211,2013
Differdange,3870.767,3198,4683,2013
Dippach,5191,3382,7502,2013
Dudelange,4687.194,3710,5479,2013
Echternach,5191,3382,7502,2013
Ell,5191,3382,7502,2013
Erpeldange,5191,3382,7502,2013
Esch-sur-Alzette,4496.925,3586,5356,2013
Esch-sur-Sûre,5191,3382,7502,2013
